Date,Last
30-Nov-23,92.2
30-Sep-23,92.2
31-Jul-23,88.1
31-May-23,88.5
31-Mar-23,87
31-Jan-23,84.8
30-Nov-22,83.5
30-Sep-22,80.6
31-Jul-22,77.3
31-May-22,75.9
31-Mar-22,71.7
31-Jan-22,63.7
30-Nov-21,62.3
30-Sep-21,57.7
31-Jul-21,48.6
31-May-21,48.5
31-Mar-21,53.1
31-Jan-21,55.5
30-Nov-20,52.3
30-Sep-20,49.9
31-Jul-20,53.8
31-May-20,63.7
31-Mar-20,85.6
31-Jan-20,83.7
30-Nov-19,85.7
30-Sep-19,89.4
31-Jul-19,95.7
31-May-19,97.3
31-Mar-19,104.6
31-Dec-18,96.7
30-Nov-18,93.9
30-Sep-18,94.8
30-Jun-18,98.3
31-May-18,94.2
31-Mar-18,95.6
31-Dec-17,97.7
30-Nov-17,92
30-Sep-17,96.4
30-Jun-17,96.8
31-May-17,100
31-Mar-17,98.7
31-Dec-16,102
30-Nov-16,108.7
30-Sep-16,104.2
30-Jun-16,105
31-Mar-16,104.1
31-Dec-15,102.9
30-Sep-15,102.9
30-Jun-15,107.7
31-Mar-15,108.6
31-Dec-14,105.5
30-Sep-14,105
30-Jun-14,100.4
31-Mar-14,99.9
31-Dec-13,90.7
30-Sep-13,88
30-Jun-13,101.7
31-Mar-13,101.7
31-Dec-12,106.9
30-Sep-12,106.2
30-Jun-12,106.7
31-Mar-12,114.6
31-Dec-11,116.2
30-Sep-11,115
30-Jun-11,116.3
31-Mar-11,112.2
31-Dec-10,116.7
