Year,Billions of US $,% of GDP
2022,$-124.91B,-3.66%
2021,$-83.13B,-2.64%
2020,$-10.52B,-0.39%
2019,$-73.07B,-2.58%
2018,$-101.67B,-3.76%
2017,$-83.76B,-3.16%
2016,$-40.53B,-1.77%
2015,$-48.31B,-2.30%
2014,$-60.89B,-2.99%
2013,$-55.38B,-2.98%
2012,$-122.91B,-6.72%
2011,$-119.28B,-6.54%
2010,$-74.62B,-4.45%
2009,$-73.43B,-5.47%
2008,$-62.02B,-5.17%
2007,$-49.73B,-4.09%
2006,$-29.98B,-3.19%
2005,$-22.90B,-2.79%
2004,$-12.66B,-1.79%
2003,$-4.23B,-0.70%
2002,$-5.05B,-0.98%
2001,$-4.25B,-0.88%
2000,$-4.25B,-0.91%
1999,$-8.77B,-1.91%
1998,$-7.01B,-1.66%
1997,$-5.15B,-1.24%
1996,$-4.55B,-1.16%
1995,$-4.25B,-1.18%
1994,$-0.99B,-0.30%
1993,$0.05B,0.02%
1992,$-2.15B,-0.75%
1991,$0.00B,0.00%
1990,$-4.49B,-1.40%
1989,$-3.36B,-1.14%
1988,$-4.21B,-1.42%
1987,$-3.84B,-1.38%
1986,$-4.55B,-1.83%
1985,$-5.56B,-2.39%
1984,$-3.06B,-1.44%
1983,$-4.40B,-2.02%
1982,$-4.33B,-2.16%
1981,$-5.10B,-2.64%
1980,$-5.79B,-3.11%
1979,$-2.17B,-1.42%
1978,$-0.38B,-0.27%
1977,$0.14B,0.12%
1976,$0.59B,0.57%
1975,$-0.98B,-1.00%
1974,$-1.18B,-1.19%
1973,$-0.44B,-0.51%
1972,$0.23B,0.32%
1971,$-0.23B,-0.34%
1970,$-0.06B,-0.10%
1969,$-0.19B,-0.32%
1968,$-0.48B,-0.90%
1967,$-0.96B,-1.91%
1966,$-1.16B,-2.53%
1965,$-1.13B,-1.90%
1964,$-1.11B,-1.96%
1963,$-0.79B,-1.63%
1962,$-0.79B,-1.86%
1961,$-0.65B,-1.65%
1960,$-0.88B,-2.37%
